u,v,weight,sign,SIP,SIN,SDP,SDN,Uncommon,SIPV,SINV,SDPV,SDNV,UncommonV
7188,1,1.0,P,0,0,0,0,1,39,2,1218,2,248
1,160,1.0,P,39,2,1218,2,248,0,0,18,0,2
1,1028,0.7,P,39,2,1218,2,248,0,0,0,0,0
1,309,0.5,P,39,2,1218,2,248,8,0,71,0,3
1,11,0.5,P,39,2,1218,2,248,295,114,2395,90,18
1,594,0.5,P,39,2,1218,2,248,0,0,5,0,2
1,1316,0.5,P,39,2,1218,2,248,0,0,0,0,1
1,1392,0.4,P,39,2,1218,2,248,0,0,0,0,2
1,1583,0.4,P,39,2,1218,2,248,0,0,0,0,1
1,888,0.4,P,39,2,1218,2,248,0,0,5,0,1
1,637,0.4,P,39,2,1218,2,248,0,0,10,0,1
1,1520,0.4,P,39,2,1218,2,248,0,0,2,0,0
1,18,0.4,P,39,2,1218,2,248,4,0,194,0,24
1,35,0.4,P,39,2,1218,2,248,20,54,221,25,2
1,1901,0.3,P,39,2,1218,2,248,0,0,0,0,1
1,44,0.3,P,39,2,1218,2,248,1,0,200,0,8
1,10,0.3,P,39,2,1218,2,248,152,101,1177,41,30
1,783,0.3,P,39,2,1218,2,248,0,0,0,0,3
1,821,0.3,P,39,2,1218,2,248,0,0,2,0,2
1,112,0.3,P,39,2,1218,2,248,12,0,113,0,1
1,964,0.3,P,39,2,1218,2,248,0,0,5,0,1
1,89,0.3,P,39,2,1218,2,248,5,4,134,4,12
1,20,0.3,P,39,2,1218,2,248,40,13,467,21,4
1,256,0.3,P,39,2,1218,2,248,3,0,100,1,6
1,223,0.3,P,39,2,1218,2,248,0,0,59,0,2
1,1881,0.2,P,39,2,1218,2,248,0,0,2,0,0
1,351,0.2,P,39,2,1218,2,248,0,0,56,0,2
1,196,0.2,P,39,2,1218,2,248,13,10,67,16,3
1,416,0.2,P,39,2,1218,2,248,3,0,19,0,2
1,1877,0.2,P,39,2,1218,2,248,0,0,0,0,2
1,87,0.2,P,39,2,1218,2,248,23,9,288,24,9
1,2367,0.2,P,39,2,1218,2,248,0,0,0,0,0
1,3254,0.2,P,39,2,1218,2,248,0,0,36,0,0
1,1573,0.2,P,39,2,1218,2,248,0,0,2,0,1
1,247,0.2,P,39,2,1218,2,248,1,0,57,0,4
1,1353,0.2,P,39,2,1218,2,248,0,0,2,0,2
1,493,0.2,P,39,2,1218,2,248,1,0,16,0,1
1,1358,0.2,P,39,2,1218,2,248,0,0,1,0,1
1,1177,0.2,P,39,2,1218,2,248,0,0,0,0,3
1,1538,0.2,P,39,2,1218,2,248,0,0,2,0,1
1,2296,0.2,P,39,2,1218,2,248,0,0,0,0,0
1,222,0.2,P,39,2,1218,2,248,19,21,113,5,4
1,2282,0.2,P,39,2,1218,2,248,0,0,0,0,1
1,2113,0.2,P,39,2,1218,2,248,0,0,0,0,1
1,2260,0.2,P,39,2,1218,2,248,0,0,0,0,1
1,71,0.2,P,39,2,1218,2,248,0,0,17,0,10
1,142,0.2,P,39,2,1218,2,248,26,4,242,0,4
1,2249,0.2,P,39,2,1218,2,248,0,0,0,0,1
1,1519,0.2,P,39,2,1218,2,248,0,0,0,0,3
1,2227,0.2,P,39,2,1218,2,248,0,0,0,0,1
1,1496,0.2,P,39,2,1218,2,248,0,0,2,0,0
1,519,0.2,P,39,2,1218,2,248,2,0,24,0,4
1,1493,0.2,P,39,2,1218,2,248,0,0,3,0,0
1,1315,0.2,P,39,2,1218,2,248,0,0,0,0,2
