u,v,weight,sign,SIP,SIN,SDP,SDN,Uncommon,SIPV,SINV,SDPV,SDNV,UncommonV
5936.0,3589.0,0.0756,P,0,0,0,0,1,4,2,9,1,11
3589.0,3580.0,0.0348,P,4,2,9,1,11,1,0,10,0,13
3589.0,579.0,0.0365,P,4,2,9,1,11,0,0,0,0,1
3589.0,4047.0,-0.0024000000000000002,N,4,2,9,1,11,0,0,1,0,2
3589.0,863.0,0.0193,P,4,2,9,1,11,0,3,2,0,1
3589.0,269.0,0.0441,P,4,2,9,1,11,2,3,17,0,5
3589.0,3577.0,0.05739999999999999,P,4,2,9,1,11,0,0,36,0,0
3589.0,4536.0,-0.014099999999999998,N,4,2,9,1,11,5,0,6,0,1
3589.0,2778.0,0.055200000000000006,P,4,2,9,1,11,2,1,4,0,0
3589.0,2785.0,0.03105,P,4,2,9,1,11,0,0,0,0,0
3589.0,911.0,0.0185,P,4,2,9,1,11,2,1,5,0,3
3589.0,4162.0,0.0355,P,4,2,9,1,11,0,0,3,0,3
3589.0,2054.0,0.0412,P,4,2,9,1,11,16,13,35,5,16
3589.0,5289.0,0.021899999999999996,P,4,2,9,1,11,0,0,0,0,0
3589.0,3750.0,0.0451,P,4,2,9,1,11,2,5,14,1,7
3589.0,3858.0,0.0623,P,4,2,9,1,11,1,0,2,0,3
3589.0,1314.0,0.0623,P,4,2,9,1,11,1,0,10,0,2
3589.0,3708.0,0.005700000000000002,P,4,2,9,1,11,0,0,5,0,9
3589.0,3930.0,0.0045,P,4,2,9,1,11,3,0,8,0,1
3589.0,312.0,0.022200000000000004,P,4,2,9,1,11,6,0,48,0,21
3589.0,5954.0,0.0468,P,4,2,9,1,11,0,0,0,0,0
3589.0,6158.0,0.0213,P,4,2,9,1,11,0,0,0,0,0
3580.0,4367.0,-0.009600000000000001,N,1,0,10,0,13,0,0,4,0,1
3580.0,3593.0,0.01935,P,1,0,10,0,13,6,0,25,0,7
3580.0,4020.0,0.0144,P,1,0,10,0,13,0,0,0,0,1
3580.0,3078.0,0.0752,P,1,0,10,0,13,1,1,1,0,5
3580.0,1262.0,0.0264,P,1,0,10,0,13,3,0,15,0,11
3580.0,1584.0,0.0469,P,1,0,10,0,13,1,0,2,0,2
3580.0,4201.0,0.0242,P,1,0,10,0,13,3,0,3,0,1
3580.0,5861.0,0.0766,P,1,0,10,0,13,0,0,0,0,0
3580.0,2885.0,0.1,P,1,0,10,0,13,2,1,11,4,5
3580.0,3543.0,0.0615,P,1,0,10,0,13,0,0,1,0,1
3580.0,6229.0,0.0256,P,1,0,10,0,13,0,0,0,0,0
3580.0,4849.0,0.06,P,1,0,10,0,13,0,0,5,0,3
3580.0,5122.0,0.0252,P,1,0,10,0,13,1,1,8,1,7
3580.0,80.0,0.008799999999999999,P,1,0,10,0,13,6,15,34,6,14
3580.0,5295.0,0.0398,P,1,0,10,0,13,0,0,1,0,1
3580.0,4805.0,0.0155,P,1,0,10,0,13,0,2,12,0,1
3580.0,6004.0,0.0156,P,1,0,10,0,13,0,0,0,0,0
3580.0,2213.0,0.009600000000000001,P,1,0,10,0,13,1,0,3,0,7
3580.0,6028.0,0.01,P,1,0,10,0,13,0,0,0,0,0
3580.0,3982.0,-0.0108,N,1,0,10,0,13,1,0,1,0,9
579.0,910.0,0.004,P,0,0,0,0,1,8,0,8,0,2
4047.0,3216.0,0.028499999999999998,P,0,0,1,0,2,0,0,3,0,1
4047.0,4367.0,0.018600000000000002,P,0,0,1,0,2,0,0,4,0,1
4047.0,3277.0,0.0218,P,0,0,1,0,2,0,0,0,1,1
863.0,2718.0,-0.0046,N,0,3,2,0,1,36,11,181,4,34
863.0,74.0,0.0126,P,0,3,2,0,1,4,0,14,0,7
863.0,4155.0,-0.019700000000000002,N,0,3,2,0,1,4,19,3,0,0
863.0,1032.0,0.0034000000000000002,P,0,3,2,0,1,0,2,8,0,1
863.0,339.0,0.023,P,0,3,2,0,1,0,3,1,2,0
269.0,1793.0,0.0402,P,2,3,17,0,5,1,0,6,0,2
269.0,978.0,0.010400000000000001,P,2,3,17,0,5,0,0,1,0,0
269.0,910.0,0.019700000000000002,P,2,3,17,0,5,8,0,8,0,2
269.0,2276.0,0.00020000000000000017,P,2,3,17,0,5,0,1,3,1,7
269.0,1070.0,0.011100000000000002,P,2,3,17,0,5,0,0,0,0,0
269.0,4.0,0.044700000000000004,P,2,3,17,0,5,0,0,4,0,1
269.0,434.0,0.0076,P,2,3,17,0,5,0,0,7,0,2
269.0,2488.0,0.0299,P,2,3,17,0,5,5,0,13,0,2
269.0,1454.0,-0.0086,N,2,3,17,0,5,2,3,33,0,32
269.0,2609.0,0.06,P,2,3,17,0,5,5,1,61,1,15
269.0,4906.0,0.0258,P,2,3,17,0,5,3,0,11,0,0
269.0,585.0,0.05550000000000001,P,2,3,17,0,5,0,0,0,0,0
269.0,3611.0,0.025,P,2,3,17,0,5,0,0,0,0,0
269.0,3065.0,0.0207,P,2,3,17,0,5,0,0,0,0,0
269.0,1663.0,0.023100000000000002,P,2,3,17,0,5,0,0,8,0,4
269.0,4942.0,0.0081,P,2,3,17,0,5,4,0,4,0,0
3577.0,262.0,0.036699999999999997,P,0,0,36,0,0,2,1,10,0,6
3577.0,363.0,0.008000000000000002,P,0,0,36,0,0,1,0,0,0,3
3577.0,4217.0,0.058199999999999995,P,0,0,36,0,0,0,1,0,0,0
3577.0,312.0,0.0398,P,0,0,36,0,0,6,0,48,0,21
3577.0,3577.0,0.013000000000000001,P,0,0,36,0,0,0,0,36,0,0
4536.0,5289.0,0.0412,P,5,0,6,0,1,0,0,0,0,0
4536.0,2204.0,0.011899999999999999,P,5,0,6,0,1,0,1,3,0,2
4536.0,5954.0,0.0335,P,5,0,6,0,1,0,0,0,0,0
4536.0,5761.0,0.009600000000000001,P,5,0,6,0,1,0,0,0,0,0
4536.0,1943.0,0.0268,P,5,0,6,0,1,1,0,2,1,7
4536.0,1274.0,0.013300000000000001,P,5,0,6,0,1,0,0,5,0,5
4536.0,2529.0,0.0013000000000000012,P,5,0,6,0,1,12,7,104,7,17
2778.0,3374.0,0.0409,P,2,1,4,0,0,0,0,0,0,1
2778.0,6580.0,0.0025999999999999994,P,2,1,4,0,0,0,0,0,0,0
2778.0,5347.0,0.0154,P,2,1,4,0,0,2,0,2,0,1
2778.0,288.0,0.0674,P,2,1,4,0,0,1,1,19,0,21
2778.0,4182.0,0.0499,P,2,1,4,0,0,2,0,11,0,3
2778.0,4697.0,-0.030699999999999998,N,2,1,4,0,0,1,0,0,0,4
911.0,259.0,0.014750000000000003,P,2,1,5,0,3,22,5,128,5,14
911.0,980.0,0.0036999999999999976,P,2,1,5,0,3,1,0,10,0,2
911.0,208.0,0.008299999999999998,P,2,1,5,0,3,6,2,26,1,16
911.0,2831.0,0.0114,P,2,1,5,0,3,0,0,0,0,1
911.0,741.0,0.0172,P,2,1,5,0,3,0,0,4,0,4
911.0,6621.0,0.0242,P,2,1,5,0,3,0,0,0,0,0
911.0,2858.0,0.0207,P,2,1,5,0,3,3,2,3,1,3
911.0,843.0,-0.015150000000000002,N,2,1,5,0,3,2,1,8,0,9
4162.0,4066.0,0.031,P,0,0,3,0,3,0,0,1,0,2
4162.0,2005.0,-0.0171,N,0,0,3,0,3,3,1,4,0,13
4162.0,5723.0,0.026600000000000002,P,0,0,3,0,3,0,0,0,0,0
4162.0,3868.0,0.0441,P,0,0,3,0,3,0,0,0,0,1
4162.0,3705.0,0.0377,P,0,0,3,0,3,2,0,3,0,3
4162.0,6111.0,0.0522,P,0,0,3,0,3,0,0,0,0,0
2054.0,2923.0,0.0050999999999999995,P,16,13,35,5,16,0,0,0,0,4
2054.0,4824.0,-0.0007000000000000006,N,16,13,35,5,16,0,0,1,0,3
2054.0,1346.0,0.0171,P,16,13,35,5,16,0,0,2,0,1
2054.0,5514.0,0.0169,P,16,13,35,5,16,0,0,0,0,0
2054.0,4894.0,0.004100000000000001,P,16,13,35,5,16,5,0,5,0,14
2054.0,3286.0,0.010399999999999998,P,16,13,35,5,16,0,0,4,0,0
2054.0,5220.0,0.0451,P,16,13,35,5,16,0,0,0,0,1
2054.0,3590.0,-0.0045,N,16,13,35,5,16,6,8,42,3,2
2054.0,159.0,0.009600000000000001,P,16,13,35,5,16,20,4,111,5,10
2054.0,5818.0,0.0164,P,16,13,35,5,16,0,0,0,0,2
2054.0,2709.0,0.008400000000000001,P,16,13,35,5,16,0,0,0,0,0
2054.0,2577.0,0.0006000000000000005,P,16,13,35,5,16,6,7,8,3,7
2054.0,3168.0,0.00040000000000000034,P,16,13,35,5,16,0,0,0,0,0
2054.0,188.0,0.00020000000000000017,P,16,13,35,5,16,13,4,34,2,2
2054.0,6551.0,0.0086,P,16,13,35,5,16,0,0,0,0,0
2054.0,5099.0,0.020200000000000003,P,16,13,35,5,16,1,0,3,0,5
2054.0,2981.0,0.0131,P,16,13,35,5,16,0,0,0,0,0
2054.0,4799.0,0.1,P,16,13,35,5,16,0,1,5,0,9
2054.0,3593.0,0.0261,P,16,13,35,5,16,6,0,25,0,7
2054.0,2484.0,0.006000000000000001,P,16,13,35,5,16,0,0,0,0,0
2054.0,5573.0,0.0313,P,16,13,35,5,16,0,0,0,0,0
2054.0,3723.0,0.0021999999999999997,P,16,13,35,5,16,0,0,0,0,1
2054.0,512.0,0.0131,P,16,13,35,5,16,1,0,7,0,0
2054.0,3613.0,-0.0014,N,16,13,35,5,16,17,12,104,5,16
2054.0,6459.0,-0.0106,N,16,13,35,5,16,0,0,0,0,0
2054.0,1128.0,0.0804,P,16,13,35,5,16,0,0,0,0,2
2054.0,958.0,0.016599999999999997,P,16,13,35,5,16,0,0,2,1,5
2054.0,2858.0,-0.0005000000000000004,N,16,13,35,5,16,3,2,3,1,3
2054.0,5313.0,0.0193,P,16,13,35,5,16,0,0,2,0,1
2054.0,5489.0,-0.018600000000000002,N,16,13,35,5,16,0,0,1,0,1
2054.0,2815.0,0.023100000000000002,P,16,13,35,5,16,0,0,0,0,1
2054.0,7752.0,0.0010999999999999996,P,16,13,35,5,16,0,0,0,0,2
2054.0,5907.0,0.014600000000000002,P,16,13,35,5,16,0,0,2,0,2
2054.0,5130.0,0.014800000000000002,P,16,13,35,5,16,0,0,8,0,1
2054.0,6003.0,0.015200000000000002,P,16,13,35,5,16,0,0,0,0,0
2054.0,1445.0,0.0071,P,16,13,35,5,16,4,0,5,0,1
2054.0,5723.0,0.0206,P,16,13,35,5,16,0,0,0,0,0
2054.0,2335.0,0.004,P,16,13,35,5,16,0,0,4,0,10
2054.0,172.0,0.0237,P,16,13,35,5,16,0,0,5,0,7
2054.0,2537.0,-0.013000000000000001,N,16,13,35,5,16,0,4,17,1,1
2054.0,4854.0,0.0099,P,16,13,35,5,16,0,3,3,2,7
2054.0,429.0,0.023100000000000002,P,16,13,35,5,16,2,8,12,3,6
2054.0,5930.0,0.016300000000000002,P,16,13,35,5,16,0,0,0,0,0
2054.0,3374.0,0.013900000000000001,P,16,13,35,5,16,0,0,0,0,1
2054.0,5360.0,0.06939999999999999,P,16,13,35,5,16,0,0,1,0,0
2054.0,6758.0,-0.0059,N,16,13,35,5,16,0,0,0,0,0
3750.0,4422.0,0.0524,P,2,5,14,1,7,0,0,0,0,1
3750.0,3097.0,0.0524,P,2,5,14,1,7,0,0,0,0,0
3750.0,3930.0,-0.0054,N,2,5,14,1,7,3,0,8,0,1
3750.0,6015.0,0.0623,P,2,5,14,1,7,0,0,0,0,0
3750.0,3374.0,0.0524,P,2,5,14,1,7,0,0,0,0,1
3750.0,605.0,0.0212,P,2,5,14,1,7,2,11,25,1,3
3750.0,3672.0,0.0258,P,2,5,14,1,7,0,0,0,0,0
3750.0,4906.0,-0.0134,N,2,5,14,1,7,3,0,11,0,0
3750.0,5954.0,0.0283,P,2,5,14,1,7,0,0,0,0,0
3750.0,3746.0,0.0524,P,2,5,14,1,7,0,0,0,0,0
3750.0,5384.0,0.0492,P,2,5,14,1,7,0,0,0,0,0
3750.0,389.0,0.0215,P,2,5,14,1,7,2,0,9,0,8
3750.0,4697.0,-0.0094,N,2,5,14,1,7,1,0,0,0,4
3750.0,6465.0,-0.0213,N,2,5,14,1,7,0,0,0,0,0
3750.0,2326.0,0.057699999999999994,P,2,5,14,1,7,10,4,38,0,15
3750.0,2335.0,0.0623,P,2,5,14,1,7,0,0,4,0,10
3750.0,3741.0,0.0213,P,2,5,14,1,7,0,0,1,0,0
3750.0,5451.0,0.0533,P,2,5,14,1,7,1,0,1,0,1
3750.0,2777.0,0.027000000000000003,P,2,5,14,1,7,0,0,0,0,4
3750.0,2537.0,0.00039999999999999964,P,2,5,14,1,7,0,4,17,1,1
3750.0,4856.0,-0.008999999999999998,N,2,5,14,1,7,0,0,2,0,3
3858.0,1115.0,0.0078,P,1,0,2,0,3,33,28,97,18,26
3858.0,452.0,0.029099999999999997,P,1,0,2,0,3,2,2,0,0,11
3858.0,3992.0,0.040600000000000004,P,1,0,2,0,3,0,0,0,0,0
3858.0,2163.0,0.0252,P,1,0,2,0,3,1,3,2,1,5
3858.0,2829.0,0.0213,P,1,0,2,0,3,2,1,1,1,1
3858.0,2893.0,0.0342,P,1,0,2,0,3,5,3,15,2,0
1314.0,3501.0,0.031,P,1,0,10,0,2,0,0,7,0,1
1314.0,4302.0,-0.003799999999999999,N,1,0,10,0,2,0,0,0,0,0
1314.0,1115.0,0.014000000000000002,P,1,0,10,0,2,33,28,97,18,26
1314.0,2641.0,0.005399999999999999,P,1,0,10,0,2,0,2,3,0,3
1314.0,2923.0,0.0243,P,1,0,10,0,2,0,0,0,0,4
1314.0,140.0,0.0541,P,1,0,10,0,2,1,0,11,0,8
3708.0,5518.0,0.013000000000000001,P,0,0,5,0,9,0,0,2,0,1
3708.0,5824.0,0.014299999999999998,P,0,0,5,0,9,0,0,0,0,2
3708.0,6300.0,0.006899999999999998,P,0,0,5,0,9,0,0,0,0,0
3708.0,6292.0,0.0356,P,0,0,5,0,9,0,0,0,0,0
3708.0,3692.0,0.028199999999999996,P,0,0,5,0,9,2,2,9,2,9
3708.0,254.0,0.0076,P,0,0,5,0,9,42,0,270,0,30
3708.0,2744.0,0.010400000000000001,P,0,0,5,0,9,0,0,4,0,1
3708.0,5088.0,0.0393,P,0,0,5,0,9,0,0,3,0,5
3708.0,2013.0,0.0097,P,0,0,5,0,9,0,0,9,0,4
3708.0,251.0,0.027500000000000004,P,0,0,5,0,9,0,0,1,0,1
3708.0,4005.0,0.0403,P,0,0,5,0,9,0,0,3,0,0
3708.0,3541.0,0.007349999999999998,P,0,0,5,0,9,8,1,17,0,1
3930.0,961.0,0.0259,P,3,0,8,0,1,1,0,42,1,0
3930.0,3700.0,0.0474,P,3,0,8,0,1,12,12,58,0,2
3930.0,5954.0,0.0217,P,3,0,8,0,1,0,0,0,0,0
3930.0,1629.0,0.0519,P,3,0,8,0,1,0,0,4,0,8
3930.0,4422.0,0.0182,P,3,0,8,0,1,0,0,0,0,1
3930.0,427.0,0.024399999999999998,P,3,0,8,0,1,3,0,12,0,2
312.0,3017.0,0.0299,P,6,0,48,0,21,4,0,21,0,13
312.0,3482.0,0.0365,P,6,0,48,0,21,0,2,2,0,2
312.0,5116.0,0.0435,P,6,0,48,0,21,4,4,13,1,3
312.0,911.0,0.029199999999999997,P,6,0,48,0,21,2,1,5,0,3
312.0,1852.0,0.0449,P,6,0,48,0,21,0,0,4,0,6
